"plu_balanza","nombre","precio_venta","codigo_barra_externo","mg"
"266","ORLY CHIRIMOYA ALEGRE 115G","1300","0026600000","25"
"267","ORLY BERRIES 115G","1300","0026700000","25"
"268","ORLY MENTA 115G","1300","0026800000","25"
"269","ORLY ALMENDRA 115G","1300","0026900000","25"
"270","ORLY NARANJA 115G","1300","0027000000","25"
"271","ORLY TRUFA 95G","1300","0027100000","25"
"272","TURRON DE MANI 220G","1300","0027200000","25"
"273","CHUBI 22G","350","0027300000","25"
"274","BON O BON ALFAJOR BLANCO","700","0027400000","25"
"275","CHER CEREZAS AL LICOR","350","0027500000","25"
"276","MONEDA CHOCOLATE FRUNA","150","0027600000","25"
"277","COSTA RAMA CHOC BLANCO 115G","3450","0027700000","25"
"278","COSTA RAMA MENTA 115G","2600","0027800000","25"
"279","COSTA RAMA CHOC DE LECHE 115G","2590","0027900000","25"
"280","ROCKLETS CHOCOLATE 35G","600","0028000000","25"
"281","ROCKLETS MANI 30G","600","0028100000","25"
"282","MENTITAS MASTICABLE","150","0028200000","25"
"283","FULL MASTICABLE","150","0028300000","25"
"284","CRICRI MASTICABLE","150","0028400000","25"
"285","SPLOT ACIDX5","150","0028500000","25"
"286","TIFANYS MANI 20G","350","0028600000","25"
"287","ROLLS BOMBON","300","0028700000","25"
"288","LOLYCHOC","150","0028800000","25"
"289","BON O BON LIMON 15G","300","0028900000","25"
"290","BON O BON MANI 15G","300","0029000000","25"
"291","BON O BON LECHE 15G","300","0029100000","25"
"292","BON O BON BLANCO 15G","300","0029200000","25"
"293","CHOCOARROZ DULCE LECHE","600","0029300000","25"
"294","PALO LOCO","300","0029400000","25"
"295","EXPLOTA X4 MABU","350","0029500000","25"
"296","LANGUETAZO MANZANA","150","0029600000","25"
"297","LANGUETAZO NARANJA","150","0029700000","25"
"298","TRIGETON","150","0029800000","25"
"299","MENTA CHOCOLATE BOLSA 530G","1000","0029900000","25"
"300","CUBANITO MARSHMALLOWS 450G","2490","0030000000","25"
"301","TABLETON 650G","2890","0030100000","25"
"302","MINI SUSTANCIAS 500G","2100","0030200000","25"
"303","MARSHMALLOWS FRUNA 250G","1000","0030300000","25"
"304","GALLETAS VAINILLA 750G","2490","0030400000","25"
"305","TABLETON 750G","2890","0030500000","25"
"306","GALLETAS PEPA COCO 1K","2690","0030600000","25"
"307","GALLETAS PASEO 420G","1550","0030700000","25"
"308","GUAGUITAS SPAK 200G","1400","0030800000","25"
"309","BARQUILLOS FRUNA 10UN","1500","0030900000","25"
"310","GALLETAS CHIPS S/GLUT ECOV150G","2490","0031000000","25"
"311","GALLETAS COCO S/GLUT ECOV150G","2490","0031100000","25"
"312","GALLETAS CHOCO S/GLUT ECOV150G","2490","0031200000","25"
"313","COSTA VINO 160G","1000","0031300000","25"
"314","DATE DATE CRISPY 20G","150","0031400000","25"
